date,site_name,solar_generation_mw,wind_generation_mw,total_generation_mw,solar_revenue_inr,wind_revenue_inr,daily_revenue_inr,revenue_at_risk_inr,daily_revenue_lakhs,daily_revenue_crores
2021-06-23,Khavda Renewable Energy Park,132.5559125572088,5.557060185185184,138.112972742394,596501.61,25006.77,621508.38,6215.08,6.22,0.06
2021-06-24,Khavda Renewable Energy Park,128.5644241317436,15.363511659807951,143.92793579155156,578539.91,69135.8,647675.71,6476.76,6.48,0.06
2021-06-25,Khavda Renewable Energy Park,116.58096944894396,17.28186117969822,133.8628306286422,524614.36,77768.38,602382.74,6023.83,6.02,0.06
2021-06-26,Khavda Renewable Energy Park,109.8044295884448,10.116918518518522,119.92134810696332,494119.93,45526.13,539646.07,5396.46,5.4,0.05
2021-06-27,Khavda Renewable Energy Park,126.98664572087998,2.19153988340192,129.1781856042819,571439.91,9861.93,581301.84,5813.02,5.81,0.06
2021-06-28,Khavda Renewable Energy Park,91.7902122653736,3.8415999999999983,95.6318122653736,413055.96,17287.2,430343.16,21517.16,4.3,0.04
2021-06-29,Khavda Renewable Energy Park,103.5367447014912,4.992391117969823,108.529135819461,465915.35,22465.76,488381.11,4883.81,4.88,0.05
2021-06-30,Khavda Renewable Energy Park,140.10427552732602,32.59866968449931,172.70294521182535,630469.24,146694.01,777163.25,7771.63,7.77,0.08
2021-07-01,Khavda Renewable Energy Park,77.122077778438,67.45814900548699,144.580226783925,347049.35,303561.67,650611.02,32530.55,6.51,0.07
2021-07-02,Khavda Renewable Energy Park,72.81224499281039,43.067318518518526,115.87956351132893,327655.1,193802.93,521458.04,52145.8,5.21,0.05
2021-07-03,Khavda Renewable Energy Park,110.53683163775996,25.56498518518519,136.10181682294515,497415.74,115042.43,612458.18,6124.58,6.12,0.06
2021-07-04,Khavda Renewable Energy Park,102.334985220468,7.4318932784636464,109.76687849893166,460507.43,33443.52,493950.95,4939.51,4.94,0.05
2021-07-05,Khavda Renewable Energy Park,116.3961238519024,3.31851851851852,119.7146423704209,523782.56,14933.33,538715.89,5387.16,5.39,0.05
2021-07-06,Khavda Renewable Energy Park,118.719169031232,4.416948148148145,123.13611717938016,534236.26,19876.27,554112.53,5541.13,5.54,0.06
2021-07-07,Khavda Renewable Energy Park,139.8394503779328,10.116918518518522,149.95636889645132,629277.53,45526.13,674803.66,6748.04,6.75,0.07
2021-07-08,Khavda Renewable Energy Park,73.61084366078522,17.28186117969822,90.89270484048345,331248.8,77768.38,409017.17,20450.86,4.09,0.04
2021-07-09,Khavda Renewable Energy Park,50.076706223174405,6.10031851851852,56.177024741692925,225345.18,27451.43,252796.61,12639.83,2.53,0.03
2021-07-10,Khavda Renewable Energy Park,81.04172312653121,0.5034315500685874,81.5451546765998,364687.75,2265.44,366953.2,3669.53,3.67,0.04
2021-07-11,Khavda Renewable Energy Park,65.78112864179998,0.6308814814814814,66.41201012328146,296015.08,2838.97,298854.05,14942.7,2.99,0.03
2021-07-12,Khavda Renewable Energy Park,49.28258094391501,0.00031951303155,49.28290045694656,221771.61,1.44,221773.05,11088.65,2.22,0.02
2021-07-13,Khavda Renewable Energy Park,56.0596200600128,1.544718518518519,57.604338578531326,252268.29,6951.23,259219.52,12960.98,2.59,0.03
2021-07-14,Khavda Renewable Energy Park,93.3245588280544,3.036534945130316,96.3610937731847,419960.51,13664.41,433624.92,21681.25,4.34,0.04
2021-07-15,Khavda Renewable Energy Park,79.93045711496559,0.0,79.93045711496559,359687.06,0.0,359687.06,17984.35,3.6,0.04
2021-07-16,Khavda Renewable Energy Park,87.39411727823038,0.0265481481481481,87.42066542637853,393273.53,119.47,393392.99,19669.65,3.93,0.04
2021-07-17,Khavda Renewable Energy Park,81.728924681712,4.938126474622771,86.66705115633478,367780.16,22221.57,390001.73,19500.09,3.9,0.04
2021-07-18,Khavda Renewable Energy Park,70.5666201842624,17.785185185185185,88.35180536944759,317549.79,80033.33,397583.12,19879.16,3.98,0.04
2021-07-19,Khavda Renewable Energy Park,41.61878885384441,45.6366812414266,87.25547009527101,187284.55,205365.07,392649.62,19632.48,3.93,0.04
2021-07-20,Khavda Renewable Energy Park,36.006696569305,81.28470888203019,117.29140545133518,162030.13,365781.19,527811.32,26390.57,5.28,0.05
