date,site_name,solar_generation_mw,wind_generation_mw,total_generation_mw,ghi_w_m2,effective_irradiance,cloud_factor,cell_temperature_c,temperature_factor,performance_ratio,capacity_factor,solar_zenith,solar_elevation,solar_azimuth,air_mass,clear_sky_irradiance_kwh_m2_day,poa_irradiance_w_m2
2021-07-04,Khavda Renewable Energy Park,23.33278590354189,7.4318932784636464,30.764679182005537,708.6625,2.5698936900000002,0.45330000000000004,52.945703125,0.8882171875,0.82,0.020509786121337026,45.0,45.0,180.0,1.5,5.6693,708.6625
2021-07-05,Khavda Renewable Energy Park,38.31068263623288,3.31851851851852,41.62920115475141,726.7249999999999,3.33653982,0.5739000000000001,53.19015625,0.887239375,0.82,0.02775280076983427,45.0,45.0,180.0,1.5,5.8138,726.7249999999999
2021-07-06,Khavda Renewable Energy Park,43.858111952662476,4.416948148148145,48.27506010081062,715.5,3.5391491999999998,0.6183,52.799375,0.8888025,0.82,0.032183373400540415,45.0,45.0,180.0,1.5,5.724,715.5
2021-07-07,Khavda Renewable Energy Park,64.96474305651577,10.116918518518522,75.08166157503429,777.5999999999999,4.50759168,0.7246,54.489999999999995,0.88204,0.82,0.05005444105002286,45.0,45.0,180.0,1.5,6.2208,777.5999999999999
2021-07-08,Khavda Renewable Energy Park,3.699653785367463,17.28186117969822,20.981514965065685,670.175,0.9923951400000002,0.18510000000000004,51.71296875,0.893148125,0.82,0.013987676643377123,45.0,45.0,180.0,1.5,5.3614,670.175
2021-07-09,Khavda Renewable Energy Park,3.236529367635855,6.10031851851852,9.336847886154375,443.275,0.7432835199999996,0.2095999999999999,44.68234375,0.921270625,0.82,0.00622456525743625,45.0,45.0,180.0,1.5,3.5462,443.275
2021-07-10,Khavda Renewable Energy Park,10.339011459904665,0.5034315500685874,10.842443009973252,641.4875,1.6227067800000001,0.31620000000000004,51.606484374999994,0.8935740625,0.82,0.007228295339982168,45.0,45.0,180.0,1.5,5.1319,641.4875
2021-07-11,Khavda Renewable Energy Park,0.5449219164198897,0.6308814814814814,1.1758033979013711,692.975,0.38806599999999974,0.06999999999999995,52.60546875,0.889578125,0.82,0.0007838689319342474,45.0,45.0,180.0,1.5,5.5438,692.975
2021-07-12,Khavda Renewable Energy Park,0.13449734584147097,0.0003195130315500675,0.13481685887302103,540.0625,0.1680674500000002,0.038900000000000046,46.926953125,0.9122921875,0.82,8.987790591534736e-05,45.0,45.0,180.0,1.5,4.3205,540.0625
2021-07-13,Khavda Renewable Energy Park,0.5287866673540254,1.544718518518519,2.0735051858725444,590.225,0.3513019200000001,0.07440000000000002,50.70453125,0.897181875,0.82,0.0013823367905816963,45.0,45.0,180.0,1.5,4.7218,590.225
2021-07-14,Khavda Renewable Energy Park,9.311231241199774,3.036534945130316,12.347766186330091,769.8249999999999,1.7022370399999998,0.2764,55.59703125,0.877611875,0.82,0.00823184412422006,45.0,45.0,180.0,1.5,6.1586,769.8249999999999
2021-07-15,Khavda Renewable Energy Park,4.901456320625726,0.0,4.901456320625726,711.3249999999999,1.18250668,0.20779999999999998,53.85890625,0.8845643750000001,0.82,0.003267637547083817,45.0,45.0,180.0,1.5,5.6906,711.3249999999999
2021-07-16,Khavda Renewable Energy Park,8.269907260036826,0.02654814814814814,8.296455408184974,731.4625,1.56357424,0.2672,55.548203125,0.8778071875,0.82,0.005530970272123316,45.0,45.0,180.0,1.5,5.8517,731.4625
2021-07-17,Khavda Renewable Energy Park,8.137601186475543,4.938126474622771,13.075727661098313,675.3,1.4797173600000002,0.27390000000000003,52.403125,0.8903875,0.82,0.008717151774065542,45.0,45.0,180.0,1.5,5.4024,675.3
2021-07-18,Khavda Renewable Energy Park,3.001856452982102,17.785185185185185,20.78704163816729,653.675,0.88063096,0.1684,50.58734375,0.897650625,0.82,0.013858027758778192,45.0,45.0,180.0,1.5,5.2294,653.675
2021-07-19,Khavda Renewable Energy Park,0.21621222467257717,45.6366812414266,45.852893466099175,447.425,0.19292966000000022,0.05390000000000006,44.492031250000004,0.922031875,0.82,0.030568595644066117,45.0,45.0,180.0,1.5,3.5794,447.425
2021-07-20,Khavda Renewable Energy Park,1.2020496202118118,81.28470888203019,82.486758502242,343.4375,0.39536525000000006,0.14390000000000003,40.762421875,0.9369503125,0.82,0.054991172334828,45.0,45.0,180.0,1.5,2.7475,343.4375
2021-07-21,Khavda Renewable Energy Park,28.767547949051135,73.50048587105624,102.26803382010738,488.46250000000003,2.3317245900000003,0.5967,45.774453125,0.9169021875,0.82,0.06817868921340492,45.0,45.0,180.0,1.5,3.9077,488.46250000000003
2021-07-22,Khavda Renewable Energy Park,5.9179097967774,12.86277198216735,18.78068177894475,491.0375,1.0622123200000004,0.2704000000000001,46.574921875,0.9137003125000001,0.82,0.0125204545192965,45.0,45.0,180.0,1.5,3.9283,491.0375
2021-07-23,Khavda Renewable Energy Park,4.517882512069166,5.97666721536351,10.494549727432677,584.0375,1.0180941700000004,0.2179000000000001,49.221171874999996,0.9031153125,0.82,0.006996366484955118,45.0,45.0,180.0,1.5,4.6723,584.0375
2021-07-24,Khavda Renewable Energy Park,0.007134183934799637,5.915473148148149,5.922607332082949,291.0625,0.027942000000000026,0.01200000000000001,39.115703124999996,0.9435371875,0.82,0.003948404888055299,45.0,45.0,180.0,1.5,2.3285,291.0625
2021-07-25,Khavda Renewable Energy Park,0.2491127704017859,12.9654,13.214512770401786,582.025,0.23793182000000015,0.051100000000000034,47.84828125,0.908606875,0.82,0.008809675180267857,45.0,45.0,180.0,1.5,4.6562,582.025
2021-07-26,Khavda Renewable Energy Park,0.029628543256661994,47.56814159807956,47.59777014133623,423.875,0.06917640000000029,0.020400000000000085,42.236093749999995,0.931055625,0.82,0.03173184676089082,45.0,45.0,180.0,1.5,3.391,423.875
2021-07-27,Khavda Renewable Energy Park,0.001852149917594715,57.76724746227712,57.769099612194715,376.375,0.016259400000000215,0.005400000000000071,41.131718750000005,0.935473125,0.82,0.038512733074796475,45.0,45.0,180.0,1.5,3.011,376.375
2021-07-28,Khavda Renewable Energy Park,0.002816644449191237,78.17643017832648,78.17924682277568,278.125,0.017132499999999842,0.007699999999999929,38.29140625,0.946834375,0.82,0.052119497881850455,45.0,45.0,180.0,1.5,2.225,278.125
2021-07-29,Khavda Renewable Energy Park,0.005981766196525635,91.47965963648834,91.48564140268486,352.675,0.028214000000000027,0.010000000000000009,39.95109375,0.940195625,0.82,0.06099042760178991,45.0,45.0,180.0,1.5,2.8214,352.675
2021-07-30,Khavda Renewable Energy Park,10.927636053907408,64.116251303155,75.0438873570624,394.825,1.2814440199999997,0.40569999999999995,41.96828125,0.932126875,0.82,0.0500292582380416,45.0,45.0,180.0,1.5,3.1586,394.825
2021-07-31,Khavda Renewable Energy Park,6.2644175000630105,77.49663895747597,83.76105645753897,384.45,0.9565115999999999,0.31099999999999994,41.5340625,0.93386375,0.82,0.05584070430502598,45.0,45.0,180.0,1.5,3.0756,384.45
2021-08-01,Khavda Renewable Energy Park,0.3415297361044687,66.84209667352536,67.18362640962982,424.86249999999995,0.23520388000000012,0.06920000000000004,42.366953124999995,0.9305321875,0.82,0.044789084273086546,45.0,45.0,180.0,1.5,3.3989,424.86249999999995
2021-08-02,Khavda Renewable Energy Park,0.15109192817566325,33.948742352537735,34.099834280713395,358.65000000000003,0.14317307999999984,0.049899999999999944,40.5378125,0.93784875,0.82,0.02273322285380893,45.0,45.0,180.0,1.5,2.8692,358.65000000000003
2021-08-03,Khavda Renewable Energy Park,0.030876753615136688,18.953193518518518,18.984070272133653,499.05,0.07705332000000038,0.019300000000000095,44.8153125,0.92073875,0.82,0.012656046848089103,45.0,45.0,180.0,1.5,3.9924,499.05
2021-08-04,Khavda Renewable Energy Park,3.2043512235063436,14.349632956104253,17.553984179610598,534.3875,0.8156890799999998,0.19079999999999997,46.739609375,0.9130415625,0.82,0.011702656119740399,45.0,45.0,180.0,1.5,4.2751,534.3875
2021-08-05,Khavda Renewable Energy Park,18.91164428090433,6.61197722908093,25.52362150998526,718.475,2.3267094399999997,0.40479999999999994,52.39234375,0.890430625,0.82,0.01701574767332351,45.0,45.0,180.0,1.5,5.7478,718.475
2021-08-06,Khavda Renewable Energy Park,2.4819651648112573,3.4872252400548707,5.9691904048661275,613.9250000000001,0.7740366400000004,0.15760000000000007,49.435156250000006,0.902259375,0.82,0.0039794602699107515,45.0,45.0,180.0,1.5,4.9114,613.9250000000001
2021-08-07,Khavda Renewable Energy Park,20.75943427059866,2.287273525377229,23.04670779597589,644.25,2.3002302,0.44630000000000003,50.8128125,0.89674875,0.82,0.015364471863983927,45.0,45.0,180.0,1.5,5.154,644.25
2021-08-08,Khavda Renewable Energy Park,32.29918053833515,2.3197935185185186,34.618974056853666,681.6875,2.955797,0.542,51.482734375,0.8940690625,0.82,0.023079316037902444,45.0,45.0,180.0,1.5,5.4535,681.6875
2021-08-09,Khavda Renewable Energy Park,14.343855923844691,3.7508573388203024,18.094713262664992,596.225,1.8292183000000004,0.38350000000000006,48.312031250000004,0.906751875,0.82,0.012063142175109995,45.0,45.0,180.0,1.5,4.7698,596.225
2021-08-10,Khavda Renewable Energy Park,26.783142027166026,5.734400000000001,32.51754202716603,665.3375,2.65176914,0.4982,50.241796875,0.8990328125,0.82,0.02167836135144402,45.0,45.0,180.0,1.5,5.3227,665.3375
2021-08-11,Khavda Renewable Energy Park,11.731751731327268,11.577496844993137,23.309248576320407,586.2874999999999,1.6387908199999996,0.34939999999999993,47.851484375,0.9085940625,0.82,0.01553949905088027,45.0,45.0,180.0,1.5,4.6903,586.2874999999999
2021-08-12,Khavda Renewable Energy Park,1.947310339976569,7.940093518518519,9.887403858495087,644.0124999999999,0.7032616500000003,0.13650000000000007,50.105390625,0.8995784375,0.82,0.006591602572330059,45.0,45.0,180.0,1.5,5.1521,644.0124999999999
2021-08-13,Khavda Renewable Energy Park,12.106451936604083,7.290785185185185,19.397237121789267,641.375,1.749671,0.34099999999999997,50.04296875,0.899828125,0.82,0.012931491414526179,45.0,45.0,180.0,1.5,5.131,641.375
